Test Case,Fault,Command
t217,[],"-P[-E ""\<if a({1}""""gout)"" ../inputs/grep*.dat]"
t218,[],"-P[-E ""\<if a{1}gout"" ../inputs/grep*.dat]"
t220,[],"-P[-E ""\bif \(?g|\bif \(?""""out"" ../inputs/grep*.dat]"
t221,[],"-P[-E ""\bif \(?g\b|\bif \((?""""out)"" ../inputs/grep*.dat]"
t222,[],"-P[-E ""\bif \(?g\b|\bif out"" ../inputs/grep*.dat]"
t223,[],"-P[-E ""\bif \(""""?gout"" ../inputs/grep*.dat]"
t224,[],"-P[-E ""\bif \((?""""gout)"" ../inputs/grep*.dat]"
t225,[],"-P[-E ""\bif \(?gout\b"" ../inputs/grep*.dat]"
t226,[],"-P[-E ""\bif a?g|if a""""?out"" ../inputs/grep*.dat]"
t227,[],"-P[-E ""\bif a?g|\bif a?""""out"" ../inputs/grep*.dat]"
t228,[],"-P[-E ""\bif a?g|\bif a(?""""out)"" ../inputs/grep*.dat]"
t229,[],"-P[-E ""\bif a?g|\bif out\b"" ../inputs/grep*.dat]"
t230,[],"-P[-E ""\bif a""""?gout\b"" ../inputs/grep*.dat]"
t231,[],"-P[-E ""\bif a(?""""gout)"" ../inputs/grep*.dat]"
t232,[],"-P[-E ""\bif a?gout"" ../inputs/grep*.dat]"
t233,[],"-P[-E ""\bif \(+g\b|if \(""""+out"" ../inputs/grep*.dat]"
t234,[],"-P[-E ""\bif \(+g|\bif \(+""""out"" ../inputs/grep*.dat]"
t235,[],"-P[-E ""\bif \(+g|\bif \((+""""out)"" ../inputs/grep*.dat]"
t236,[],"-P[-E ""\bif \(+g|\bif out"" ../inputs/grep*.dat]"
t237,[],"-P[-E ""\bif \(""""+gout\b"" ../inputs/grep*.dat]"
t238,[],"-P[-E ""\bif \((+""""gout)"" ../inputs/grep*.dat]"
t239,[],"-P[-E ""\bif \(+gout"" ../inputs/grep*.dat]"
t240,[],"-P[-E ""\bif a+g\b|if a""""+out"" ../inputs/grep*.dat]"
t241,[],"-P[-E ""if a+g\b|\bif a+""""out"" ../inputs/grep*.dat]"
t242,[],"-P[-E ""\bif a+g|\bif a(+""""out)"" ../inputs/grep*.dat]"
t243,[],"-P[-E ""\bif a+g|\bif out"" ../inputs/grep*.dat]"
t244,[],"-P[-E ""if a""""+gout\b"" ../inputs/grep*.dat]"
t245,[],"-P[-E ""\bif a(+""""gout)"" ../inputs/grep*.dat]"
t246,[],"-P[-E ""if a+gout\b"" ../inputs/grep*.dat]"
t248,[],"-P[-E ""\bif \({1}g|\bif \({1}""""out"" ../inputs/grep*.dat]"
t249,[],"-P[-E ""if \({1}g\b|\bif \(({1}""""out)"" ../inputs/grep*.dat]"
t250,[],"-P[-E ""\bif \({1}g|\bif out"" ../inputs/grep*.dat]"
t251,[],"-P[-E ""\bif \(""""{1}gout"" ../inputs/grep*.dat]"
t252,[],"-P[-E ""\bif \(({1}""""gout)"" ../inputs/grep*.dat]"
t253,[],"-P[-E ""\bif \({1}gout\b"" ../inputs/grep*.dat]"
t254,[],"-P[-E ""\bif a{1}g|if a""""{1}out\b"" ../inputs/grep*.dat]"
t255,[],"-P[-E ""\bif a{1}g|\bif a{1}""""out"" ../inputs/grep*.dat]"
t256,[],"-P[-E ""\bif a{1}g|\bif a({1}""""out)"" ../inputs/grep*.dat]"
t257,[],"-P[-E ""if a{1}g\b|\bif out"" ../inputs/grep*.dat]"
t258,[],"-P[-E ""\bif a""""{1}gout"" ../inputs/grep*.dat]"
t259,[],"-P[-E ""\bif a({1}""""gout)"" ../inputs/grep*.dat]"
t260,[],"-P[-E ""if a{1}gout\b"" ../inputs/grep*.dat]"
t261,[],-P[-Ec static ../inputs/grep*.dat]
t262,[],-P[-F 'if (out)'  ../inputs/grep*.dat]
t263,[],"-P[-F ""if (gout)""  ../inputs/grep*.dat]"
t264,[],-P[-F agout ../inputs/grep*.dat]
t265,[],-P[-G 'dfaanalyze\|ab''[lo\]' ../inputs/grep*.dat]
t266,[],-P[-G '\(dfaanalyze\|ab\)''[lo\]' ../inputs/grep*.dat]
t268,[],-P['[ab\]''le' ../inputs/grep*.dat]
t269,[],-P[-G '[12\]' ../inputs/grep*.dat]
t273,[],-P[-G '[^[:alnum:\]\]''include' ../inputs/grep*.dat]
t275,[],-P[-G 'In.lude\|?''\?%' ../inputs/grep*.dat]
t276,[],-P[-G 'in.lude\|?\?''%' ../inputs/grep*.dat]
t277,[],-P[-G '\(in.lude\|?\?\)''%' ../inputs/grep*.dat]
t278,[],-P[-Gc 'In.lude\|?\?' ../inputs/grep*.dat]
t279,[],-P[-G '?''\?.:' ../inputs/grep*.dat]
t280,[],-P[-G '\*\?p.eg' ../inputs/grep*.dat]
t281,[],-P[-G 'Include\|n''\?.lud' ../inputs/grep*.dat]
t282,[],-P[-G 'main\|n\?''.lud' ../inputs/grep*.dat]
t283,[],-P[-G '\(main\|n\?\)''.lud' ../inputs/grep*.dat]
t284,[],-P['Include\|n\?.lude' ../inputs/grep*.dat]
t285,[],-P[-G 'n''\?.lude' ../inputs/grep*.dat]
t286,[],-P[-G 'n\?.lud' ../inputs/grep*.dat]
t287,[],-P[-G 'In.lude\|?''\+%' ../inputs/grep*.dat]
t288,[],-P[-G 'in.lude\|?\+''%' ../inputs/grep*.dat]
t289,[],-P[-G '\(in.lude\|?\+\)''%' ../inputs/grep*.dat]
t290,[],-P[-Gc 'In.lude\|?\+' ../inputs/grep*.dat]
t291,[],-P[-G '?''\+.:' ../inputs/grep*.dat]
t292,[],-P['\*\+p.eg' ../inputs/grep*.dat]
t293,[],-P[-G 'Include\|n''\+.lud' ../inputs/grep*.dat]
t294,[],-P[-G 'Include\|n\+''.lud' ../inputs/grep*.dat]
t295,[],-P[-G '\(Include\|n\+\)''.lud' ../inputs/grep*.dat]
t296,[],-P[-G 'Include\|n\+.lude' ../inputs/grep*.dat]
t297,[],-P['n''\+.lude' ../inputs/grep*.dat]
t298,[],-P['n\+.lud' ../inputs/grep*.dat]
t299,[],-P[-G 'In.lude\|?''\{1\}%' ../inputs/grep*.dat]
t300,[],-P[-G 'in.lude\|?\{1\}''%' ../inputs/grep*.dat]
t301,[],-P[-G '\(in.lude\|?\{1\}\)''%' ../inputs/grep*.dat]
t302,[],-P[-c 'In.lude\|?\{1\}' ../inputs/grep*.dat]
t303,[],-P[-G '?''\{1\}.:' ../inputs/grep*.dat]
t304,[],-P[-G '\*\{1\}p.eg' ../inputs/grep*.dat]
t305,[],-P[-G 'Include\|n''\{1\}.lud' ../inputs/grep*.dat]
t306,[],-P['Include\|n\{1\}''.lud' ../inputs/grep*.dat]
t307,[],-P['\(Include\|n\{1\}\)''.lud' ../inputs/grep*.dat]
t308,[],-P[-G 'Include\|n\{1\}.lude' ../inputs/grep*.dat]
t309,[],-P['n''\{1\}.lude' ../inputs/grep*.dat]
t310,[],-P[-G 'n\{1\}.lud' ../inputs/grep*.dat]
t311,[],-P['In.lude\|?''%' ../inputs/grep*.dat]
t312,[],-P['\(In.lude\|?\)''%' ../inputs/grep*.dat]
t313,[],-P[-Gc 'In.lude\|?' ../inputs/grep*.dat]
t314,[],-P['\*\*''p.' ../inputs/grep*.dat]
t315,[],-P[-G '\*p.eg' ../inputs/grep*.dat]
t316,[],-P[-G 'Include\|?''\?%' ../inputs/grep*.dat]
t317,[],-P[-G 'include\|?\?''%' ../inputs/grep*.dat]
t318,[],-P[-G '\(include\|?\?\)''%' ../inputs/grep*.dat]
t319,[],-P[-Gc 'Include\|?\?' ../inputs/grep*.dat]
t320,[],-P[-G '?''\? :' ../inputs/grep*.dat]
t321,[],-P[-G '\*\?preg' ../inputs/grep*.dat]
t322,[],-P[-G 'Include\|n''\?clud' ../inputs/grep*.dat]
t323,[],-P['main\|in\?''clude' ../inputs/grep*.dat]
t324,[],-P['\(main\|in\?\)''clude' ../inputs/grep*.dat]
t325,[],-P[-G 'main\|n\?clude' ../inputs/grep*.dat]
t326,[],-P[-G 'n''\?clude' ../inputs/grep*.dat]
t327,[],-P[-G 'n\?clud' ../inputs/grep*.dat]
t328,[],-P[-G 'Include\|?''\+%' ../inputs/grep*.dat]
t329,[],-P[-G 'include\|?\+''%' ../inputs/grep*.dat]
t330,[],-P[-G '\(include\|?\+\)''%' ../inputs/grep*.dat]
t331,[],-P[-Gc 'Include\|?\+' ../inputs/grep*.dat]
t332,[],-P[-G '?''\+ 0' ../inputs/grep*.dat]
t333,[],-P[-G '\*\+preg' ../inputs/grep*.dat]
t334,[],-P[-G 'main\|n''\+clud' ../inputs/grep*.dat]
t335,[],-P[-G 'Include\|n\+''clud' ../inputs/grep*.dat]
t336,[],-P[-G '\(Include\|n\+\)''clud' ../inputs/grep*.dat]
t337,[],-P[-G 'Include\|n\+clude' ../inputs/grep*.dat]
t338,[],-P[-G 'n''\+clude' ../inputs/grep*.dat]
t339,[],-P[-G 'n\+clud' ../inputs/grep*.dat]
t340,[],-P[-G 'Include\|?''\{1\}%' ../inputs/grep*.dat]
t341,[],-P[-G 'include\|?\{1\}''%' ../inputs/grep*.dat]
t342,[],-P[-G '\(include\|?\{1\}\)''%' ../inputs/grep*.dat]
t343,[],-P[-Gc 'Include\|?\{1\}' ../inputs/grep*.dat]
t344,[],-P[-G '?''\{1\} 0' ../inputs/grep*.dat]
t345,[],-P['\*\{1\}preg' ../inputs/grep*.dat]
t346,[],-P['Include\|n''\{1\}clud' ../inputs/grep*.dat]
t347,[],-P[-G 'main\|n\{1\}''clud' ../inputs/grep*.dat]
t348,[],-P[-G '\(main\|n\{1\}\)''clud' ../inputs/grep*.dat]
t349,[],-P[-G 'Include\|n\{1\}clude' ../inputs/grep*.dat]
t350,[],-P[-G 'n''\{1\}clude' ../inputs/grep*.dat]
t351,[],-P['n\{1\}clud' ../inputs/grep*.dat]
t352,[],-P[-G 'Include\|?''%' ../inputs/grep*.dat]
t353,[],-P[-G '\(Include\|?\)''%' ../inputs/grep*.dat]
t354,[],-P[-Gc 'Include\|?' ../inputs/grep*.dat]
t355,[],-P[-G 'static'' int' ../inputs/grep*.dat]
t356,[],-P['\*preg' ../inputs/grep*.dat]
t357,[],"-P[-G ""[\]X\]\|end"""" -"" ../inputs/grep*.dat]"
t358,[],"-P[-G ""\([\]X\]\|end\)"""" -"" ../inputs/grep*.dat]"
t359,[],"-P[-G ""[\]X\]\|end"" ../inputs/grep*.dat]"
t360,[],"-P[""[\]X\]"""" -"" ../inputs/grep*.dat]"
t361,[],"-P[-G ""[\]X\]"" ../inputs/grep*.dat]"
t362,[],"-P[-G ""^if (\?g\|if (""""\?out"" ../inputs/grep*.dat]"
t363,[],"-P[-G ""^if (\?g\|^if (\?""""out"" ../inputs/grep*.dat]"
t364,[],"-P[-G ""\(^if (\?g\|^if (\?\)""""out"" ../inputs/grep*.dat]"
t365,[],"-P[-G ""^if (\?g\|^if out"" ../inputs/grep*.dat]"
t366,[],"-P[-G ""^if (""""\?gout"" ../inputs/grep*.dat]"
t367,[],"-P[""^if (\?gout"" ../inputs/grep*.dat]"
t368,[],"-P[-G ""^if a\?g\|if a""""\?out"" ../inputs/grep*.dat]"
t369,[],"-P[-G ""^if a\?g\|^if a\?""""out"" ../inputs/grep*.dat]"
t370,[],"-P[-G ""\(^if a\?g\|^if a\?\)""""out"" ../inputs/grep*.dat]"
t371,[],"-P[-G ""^if a\?g\|^if out"" ../inputs/grep*.dat]"
t372,[],"-P[-G ""^if a""""\?gout"" ../inputs/grep*.dat]"
t373,[],"-P[-G ""^if a\?gout"" ../inputs/grep*.dat]"
t374,[],"-P[-G ""^if (\+g\|if (""""\+out"" ../inputs/grep*.dat]"
t375,[],"-P[-G ""^if (\+g\|^if (\+""""out"" ../inputs/grep*.dat]"
t376,[],"-P[-G ""\(^if (\+g\|^if (\+\)""""out"" ../inputs/grep*.dat]"
t377,[],"-P[-G ""^if (\+g\|^if out"" ../inputs/grep*.dat]"
t378,[],"-P[-G ""^if (""""\+gout"" ../inputs/grep*.dat]"
t379,[],"-P[-G ""^if (\+gout"" ../inputs/grep*.dat]"
t380,[],"-P[-G ""^if a\+g\|if a""""\+out"" ../inputs/grep*.dat]"
t381,[],"-P[-G ""^if a\+g\|^if a\+""""out"" ../inputs/grep*.dat]"
t382,[],"-P[-G ""\(^if a\+g\|^if a\+\)""""out"" ../inputs/grep*.dat]"
t383,[],"-P[""^if a\+g\|^if out"" ../inputs/grep*.dat]"
t384,[],"-P[-G ""^if a""""\+gout"" ../inputs/grep*.dat]"
t385,[],"-P[-G ""^if a\+gout"" ../inputs/grep*.dat]"
t386,[],"-P[-G ""^if (\{1\}g\|if (""""\{1\}out"" ../inputs/grep*.dat]"
t387,[],"-P[-G ""^if (\{1\}g\|^if (\{1\}""""out"" ../inputs/grep*.dat]"
t388,[],"-P[-G ""\(^if (\{1\}g\|^if (\{1\}\)""""out"" ../inputs/grep*.dat]"
t389,[],"-P[-G ""^if (\{1\}g\|^if out"" ../inputs/grep*.dat]"
t390,[],"-P[-G ""^if (""""\{1\}gout"" ../inputs/grep*.dat]"
t391,[],"-P[-G ""^if (\{1\}gout"" ../inputs/grep*.dat]"
t392,[],"-P[-G ""^if a\{1\}g\|if a""""\{1\}out"" ../inputs/grep*.dat]"
t393,[],"-P[""^if a\{1\}g\|^if a\{1\}""""out"" ../inputs/grep*.dat]"
t394,[],"-P[""\(^if a\{1\}g\|^if a\{1\}\)""""out"" ../inputs/grep*.dat]"
t395,[],"-P[-G ""^if a\{1\}g\|^if out"" ../inputs/grep*.dat]"
t396,[],"-P[""^if a""""\{1\}gout"" ../inputs/grep*.dat]"
t397,[],"-P[""^if a\{1\}gout"" ../inputs/grep*.dat]"
t398,[],"-P[-G ""\<if (\?g\|if (""""\?out"" ../inputs/grep*.dat]"
t399,[],"-P[-G ""\<if (\?g\|\<if (\?""""out"" ../inputs/grep*.dat]"
t400,[],"-P[-G ""\(\<if (\?g\|\<if (\?\)""""out"" ../inputs/grep*.dat]"
t401,[],"-P[-G ""\<if (\?g\|\<if out"" ../inputs/grep*.dat]"
t402,[],"-P[-G ""\<if (""""\?gout"" ../inputs/grep*.dat]"
t403,[],"-P[-G ""\<if (\?gout"" ../inputs/grep*.dat]"
t404,[],"-P[""\<if a\?g\|if a""""\?out"" ../inputs/grep*.dat]"
t405,[],"-P[-G ""\<if a\?g\|\<if a\?""""out"" ../inputs/grep*.dat]"
t406,[],"-P[-G ""\(\<if a\?g\|\<if a\?\)""""out"" ../inputs/grep*.dat]"
t407,[],"-P[-G ""\<if a\?g\|\<if out"" ../inputs/grep*.dat]"
t408,[],"-P[""\<if a""""\?gout"" ../inputs/grep*.dat]"
t409,[],"-P[-G ""\<if a\?gout"" ../inputs/grep*.dat]"
t410,[],"-P[-G ""\<if (\+g\|if (""""\+out"" ../inputs/grep*.dat]"
t411,[],"-P[-G ""\<if (\+g\|\<if (\+""""out"" ../inputs/grep*.dat]"
t412,[],"-P[-G ""\(\<if (\+g\|\<if (\+\)""""out"" ../inputs/grep*.dat]"
t413,[],"-P[-G ""\<if (\+g\|\<if out"" ../inputs/grep*.dat]"
t414,[],"-P[-G ""\<if (""""\+gout"" ../inputs/grep*.dat]"
t415,[],"-P[-G ""\<if (\+gout"" ../inputs/grep*.dat]"
t416,[],"-P[-G ""\<if a\+g\|if a""""\+out"" ../inputs/grep*.dat]"
t417,[],"-P[-G ""\<if a\+g\|\<if a\+""""out"" ../inputs/grep*.dat]"
t418,[],"-P[-G ""\(\<if a\+g\|\<if a\+\)""""out"" ../inputs/grep*.dat]"
t419,[],"-P[-G ""\<if a\+g\|\<if out"" ../inputs/grep*.dat]"
t420,[],"-P[""\<if a""""\+gout"" ../inputs/grep*.dat]"
t421,[],"-P[-G ""\<if a\+gout"" ../inputs/grep*.dat]"
t422,[],"-P[-G ""\<if (\{1\}g\|if (""""\{1\}out"" ../inputs/grep*.dat]"
t423,[],"-P[-G ""\<if (\{1\}g\|\<if (\{1\}""""out"" ../inputs/grep*.dat]"
t424,[],"-P[-G ""\(\<if (\{1\}g\|\<if (\{1\}\)""""out"" ../inputs/grep*.dat]"
t425,[],"-P[-G ""\<if (\{1\}g\|\<if out"" ../inputs/grep*.dat]"
t426,[],"-P[""\<if (""""\{1\}gout"" ../inputs/grep*.dat]"
t427,[],"-P[-G ""\<if (\{1\}gout"" ../inputs/grep*.dat]"
t428,[],"-P[-G ""\<if a\{1\}g\|if a""""\{1\}out"" ../inputs/grep*.dat]"
t429,[],"-P[-G ""\<if a\{1\}g\|\<if a\{1\}""""out"" ../inputs/grep*.dat]"
t430,[],"-P[-G ""\(\<if a\{1\}g\|\<if a\{1\}\)""""out"" ../inputs/grep*.dat]"
t431,[],"-P[-G ""\<if a\{1\}g\|\<if out"" ../inputs/grep*.dat]"
t432,[],"-P[-G ""\<if a""""\{1\}gout"" ../inputs/grep*.dat]"
t433,[],"-P[-G ""\<if a\{1\}gout"" ../inputs/grep*.dat]"
t435,[],"-P[-G ""\bif (\?g\|\bif (\?""""out"" ../inputs/grep*.dat]"
t436,[],"-P[-G ""\(\bif (\?g\|\bif (\?\)""""out"" ../inputs/grep*.dat]"
t437,[],"-P[""\bif (\?g\b\|\bif out"" ../inputs/grep*.dat]"
t438,[],"-P[-G ""\bif (""""\?gout"" ../inputs/grep*.dat]"
t439,[],"-P[-G ""\bif (\?gout\b"" ../inputs/grep*.dat]"
t440,[],"-P[-G ""\bif a\?g\|if a""""\?out"" ../inputs/grep*.dat]"
t441,[],"-P[""\bif a\?g\|\bif a\?""""out"" ../inputs/grep*.dat]"
t442,[],"-P[""\(\bif a\?g\|\bif a\?\)""""out"" ../inputs/grep*.dat]"
t443,[],"-P[-G ""\bif a\?g\|\bif out\b"" ../inputs/grep*.dat]"
t444,[],"-P[-G ""\bif a""""\?gout\b"" ../inputs/grep*.dat]"
t445,[],"-P[-G ""\bif a\?gout"" ../inputs/grep*.dat]"
t446,[],"-P[-G ""\bif (\+g\b\|if (""""\+out"" ../inputs/grep*.dat]"
t447,[],"-P[""\bif (\+g\|\bif (\+""""out"" ../inputs/grep*.dat]"
t448,[],"-P[""\(\bif (\+g\|\bif (\+\)""""out"" ../inputs/grep*.dat]"
t449,[],"-P[-G ""\bif (\+g\|\bif out"" ../inputs/grep*.dat]"
t450,[],"-P[-G ""\bif (""""\+gout\b"" ../inputs/grep*.dat]"
t451,[],"-P[-G ""\bif (\+gout"" ../inputs/grep*.dat]"
t452,[],"-P[-G ""\bif a\+g\b\|if a""""\+out"" ../inputs/grep*.dat]"
t453,[],"-P[-G ""if a\+g\b\|\bif a\+""""out"" ../inputs/grep*.dat]"
t454,[],"-P[-G ""\(if a\+g\b\|\bif a\+\)""""out"" ../inputs/grep*.dat]"
t455,[],"-P[-G ""\bif a\+g\|\bif out"" ../inputs/grep*.dat]"
t456,[],"-P[-G ""if a""""\+gout\b"" ../inputs/grep*.dat]"
t457,[],"-P[""if a\+gout\b"" ../inputs/grep*.dat]"
t459,[],"-P[-G ""\bif (\{1\}g\|\bif (\{1\}""""out"" ../inputs/grep*.dat]"
t460,[],"-P[-G ""\(\bif (\{1\}g\|\bif (\{1\}\)""""out"" ../inputs/grep*.dat]"
t461,[],"-P[-G ""\bif (\{1\}g\|\bif out"" ../inputs/grep*.dat]"
t462,[],"-P[""\bif (""""\{1\}gout"" ../inputs/grep*.dat]"
t463,[],"-P[""\bif (\{1\}gout\b"" ../inputs/grep*.dat]"
t464,[],"-P[-G ""\bif a\{1\}g\|if a""""\{1\}out\b"" ../inputs/grep*.dat]"
t465,[],"-P[-G ""\bif a\{1\}g\|\bif a\{1\}""""out"" ../inputs/grep*.dat]"
t466,[],"-P[-G ""\(\bif a\{1\}g\|\bif a\{1\}\)""""out"" ../inputs/grep*.dat]"
t467,[],"-P[-G ""if a\{1\}g\b\|\bif out"" ../inputs/grep*.dat]"
t468,[],"-P[-G ""\bif a""""\{1\}gout"" ../inputs/grep*.dat]"
t469,[],"-P[-G ""if a\{1\}gout\b"" ../inputs/grep*.dat]"
t470,[],-P[-Gc static ../inputs/grep*.dat]
t471,[],-P[-n I ../inputs/grep1.dat]
t472,[],"-P[-n ""/* The following list maps the names of the Posix named character classes   static int laststart;True if we're separated from beginning or (, |"" ../inputs/grep1.dat]"
t473,[],"-P[-c ""/n"" ../inputs/grep1.dat]"
t474,[],-P[-b 'static int' ../inputs/grep1.dat]
t475,[],-P['if (! lexleft)' ../inputs/grep1.dat]
t476,[],"-P[-G ' "":xdigit:\]"", is_xdigit' ../inputs/grep1.dat]"
t477,[],"-P[""case ')':"" ../inputs/grep1.dat]"
t478,[],"-P[""< PEND'"" ../inputs/grep1.dat]"
t479,[],"-P[-G ' "":xdigit:\]' ../inputs/grep1.dat]"
t480,[],-P[../inputs/grep0.dat ../inputs/grep1.dat]
t481,[],-P[-w in ../inputs/grep1.dat]
t482,[],"-P[-x ""  return"" ../inputs/grep1.dat]"
t484,[],-P[-B 2 return ../inputs/grep1.dat]
t485,[],-P[-A 2 return ../inputs/grep1.dat]
t486,[],-P[-B 2 -A 3 return ../inputs/grep1.dat]
t487,[],-P[-C return ../inputs/grep1.dat]
t488,[],-P[-3 return ../inputs/grep1.dat]
t489,[],-P[-q include ../inputs/grep1.dat]
t490,[],-P[-c include] -I[grep1.dat]
t491,[],-P[-c include -] -I[grep1.dat]
t492,[],-P[-s 'return' ../inputs/grepNon.dat]
t493,[],-P[-c TGGG ../inputs/grep1.dat]
t494,[],-P['When group 3 ends' ../inputs/grep1.dat]
t495,[],-P[size ../inputs/grep1.dat]
t497,[],"-P[-L """" ../inputs/grep1.dat]"
t498,[],"-P[-L """" ../inputs/grep*.dat]"
t500,[],"-P[-c """" ../inputs/grep1.dat]"
t501,[],"-P[-c """" ../inputs/grep*.dat]"
t505,[],-P[-ile --beg ../inputs/grep1.dat]
t506,[],-P[-ile --beg ../inputs/grep*.dat]
t507,[],"-P[-ivL ""include"" ../inputs/grep1.dat]"
t508,[],"-P[-ivL ""struct trie"" ../inputs/grep*.dat]"
t509,[],"-P[-ivc ""include"" ../inputs/grep1.dat]"
t510,[],"-P[-ivc ""include"" ../inputs/grep*.dat]"
t511,[],"-P[-vL ""include"" ../inputs/grep1.dat]"
t512,[],"-P[-vL ""include"" ../inputs/grep*.dat]"
t513,[],"-P[-vc ""include"" ../inputs/grep1.dat]"
t514,[],"-P[-vc ""include"" ../inputs/grep*.dat]"
t515,[],"-P[-iL ""include"" ../inputs/grep1.dat]"
t516,[],"-P[-iL ""include"" ../inputs/grep*.dat]"
t517,[],"-P[-ic ""include"" ../inputs/grep1.dat]"
t518,[],"-P[-ic ""include"" ../inputs/grep*.dat]"
t519,[],"-P[-L ""include"" ../inputs/grep1.dat]"
t520,[],"-P[-L ""include"" ../inputs/grep*.dat]"
t521,[],"-P[-c ""include"" ../inputs/grep1.dat]"
t522,[],"-P[-c ""include"" ../inputs/grep*.dat]"
t539,[],-P[-inbh 'include' ../inputs/grep1.dat]
t540,[],-P[-inbh 'include' ../inputs/grep*.dat]
t541,[],-P[-inb 'include' ../inputs/grep1.dat]
t542,[],-P[-inb 'include' ../inputs/grep*.dat]
t543,[],-P[-inh 'include' ../inputs/grep1.dat]
t544,[],-P[-inh 'include' ../inputs/grep*.dat]
t545,[],-P[-in 'include' ../inputs/grep1.dat]
t546,[],-P[-in 'include' ../inputs/grep*.dat]
t547,[],-P[-nbh 'include' ../inputs/grep1.dat]
t548,[],-P[-nbh 'include' ../inputs/grep*.dat]
t549,[],-P[-nb 'include' ../inputs/grep1.dat]
t550,[],-P[-nb 'include' ../inputs/grep*.dat]
t551,[],-P[-nh 'include' ../inputs/grep1.dat]
t552,[],-P[-nh 'include' ../inputs/grep*.dat]
t553,[],-P[-n 'include' ../inputs/grep1.dat]
t554,[],-P[-n 'include' ../inputs/grep*.dat]
t555,[],-P[-vil 'include' ../inputs/grep1.dat]
t556,[],-P[-vil 'include' ../inputs/grep*.dat]
t569,[],-P[-vl include ../inputs/grep1.dat]
t570,[],-P[-vl include ../inputs/grep*.dat]
t583,[],-P[-il include ../inputs/grep1.dat]
t584,[],-P[-il include ../inputs/grep*.dat]
t585,[],-P[-ibh Tgggg ../inputs/grepBinary]
t586,[],-P[-ibh include ../inputs/grep1.dat]
t587,[],-P[-ibh include ../inputs/grep*.dat]
t588,[],-P[-ib Tgggg ../inputs/grepBinary]
t589,[],-P[-ib include ../inputs/grep1.dat]
t590,[],-P[-ib include ../inputs/grep*.dat]
t591,[],-P[-ih Tgggg ../inputs/grepBinary]
t592,[],-P[-ih include ../inputs/grep1.dat]
t593,[],-P[-ih include ../inputs/grep*.dat]
t594,[],-P[-i Tgggg ../inputs/grepBinary]
t595,[],-P[-i include ../inputs/grep1.dat]
t596,[],-P[-i include ../inputs/grep*.dat]
t597,[],-P[-l include ../inputs/grep1.dat]
t598,[],-P[-l include ../inputs/grep*.dat]
t599,[],-P[-bh Tgggg ../inputs/grepBinary]
t600,[],-P[-bh include ../inputs/grep1.dat]
t601,[],-P[-bh include ../inputs/grep*.dat]
t602,[],-P[-b Tgggg ../inputs/grepBinary]
t603,[],-P[-b include ../inputs/grep1.dat]
t604,[],-P[-b include ../inputs/grep*.dat]
t605,[],-P[-h Tgggg ../inputs/grepBinary]
t606,[],-P[-h include ../inputs/grep1.dat]
t607,[],-P[-h include ../inputs/grep*.dat]
t608,[],-P[Tgggg ../inputs/grepBinary]
t609,[],-P[include ../inputs/grep1.dat]
t610,[],-P[include ../inputs/grep*.dat]
t611,[],-P [-0 12345 ../inputs/grep1.dat]
t612,[],-P [-1 12345 ../inputs/grep1.dat]
t613,[],-P [-2 12345 ../inputs/grep1.dat]
t614,[],-P [-3 12345 ../inputs/grep1.dat]
t615,[],-P [-4 12345 ../inputs/grep1.dat]
t616,[],-P [-5 12345 ../inputs/grep1.dat]
t617,[],-P [-6 12345 ../inputs/grep1.dat]
t618,[],-P [-7 12345 ../inputs/grep1.dat]
t619,[],-P [-8 12345 ../inputs/grep1.dat]
t620,[],-P [-9 12345 ../inputs/grep1.dat]
t622,[],-P [-i 12345 ../inputs/grep1.dat]
t632,[],-P [-c 12345a] -I [grep1.dat]
t633,[],-P [12345a] -I [grep1.dat]
t634,[],-P [-c include] -I [grep1.dat]
t635,[],-P [include] -I [grep1.dat]
t636,[],-P [include ../inputs/grep1.dat]
t637,[],-P [-l include] -I [../inputs/grep1.dat]
t638,[],-P [-L 12345a] -I [../inputs/grep1.dat]
t639,[],-P [12345a] -I [../inputs/grep1.dat]
t640,[],"-P [""--"" 12345 ../inputs/grep1.dat]"
t642,[],"-P [""[z-a\]"" ../inputs/grep1.dat]"
t643,[],"-P [""[5-1\]"" ../inputs/grep1.dat]"
t644,[],"-P [""[F-A\]"" ../inputs/grep1.dat]"
t647,[],-P ['a$a' ../inputs/grep1.dat]
t648,[],-P ['if$' ../inputs/grep1.dat]
t649,[],-P ['switch$|else' ../inputs/grep1.dat]
t650,[],"-P [""1\+\+"" ../inputs/grep1.dat]"
t659,[],"-P [""[1-\]"" ../inputs/grep1.dat]"
t665,[],"-P [""[1-2-9\]"" ../inputs/grep1.dat]"
t690,[],-P ['if\`' ../inputs/grep1.dat]
t691,[],-P ['\`else' ../inputs/grep1.dat]
t694,[],"-P [""\'else"" ../inputs/grep1.dat]"
t719,[],"-P [""[1-9\]\{1,2\}"" ../inputs/grep1.dat]"
t720,[],"-P [""A\{1,2\}"" ../inputs/grep1.dat]"
t734,[],-P [-7 else ../inputs/grep1.dat]
t735,[],-P [-4 12345 ../inputs/grep1.dat]
t737,[],"-P [""1[[:alnum:\]\]"" ../inputs/grep1.dat]"
t747,[],"-P [""\^"" ../inputs/grep1.dat]"
t748,[],"-P [""1\^"" ../inputs/grep1.dat]"
t749,[],"-P [""a\^"" ../inputs/grep1.dat]"
